"Date","Time","Station","Model","System","Economy","Faction","FactionState","Government"
21-January-3303,,Barjavel Station,Coriolis,HIP 33368,Industrial,Privateer's Alliance,Boom,Confederacy
21-January-3303,,Barjavel Station,Coriolis,HIP 33368,Industrial,Privateer's Alliance,Boom,Confederacy
21-January-3303,,Barjavel Station,Coriolis,HIP 33368,Industrial,Privateer's Alliance,Boom,Confederacy
21-January-3303,,Barjavel Station,Coriolis,HIP 33368,Industrial,Privateer's Alliance,Boom,Confederacy
21-January-3303,,Barjavel Station,Coriolis,HIP 33368,Industrial,Privateer's Alliance,Boom,Confederacy
21-January-3303,,Barjavel Station,Coriolis,HIP 33368,Industrial,Privateer's Alliance,Boom,Confederacy
23-January-3303,21:15,Barjavel Station,Coriolis,HIP 33368,Industrial,Privateer's Alliance,Boom,Confederacy
23-January-3303,22:12,Barjavel Station,Coriolis,HIP 33368,Industrial,Privateer's Alliance,Boom,Confederacy
26-January-3303,21:19,Paradiso Outpost,Orbis,17 Draconis,Service,Jet Bridge Inc,Investment,Corporate
27-January-3303,19:32,Roberts Port,Coriolis,Fedmich,Industrial,Fedmich Electronics Partners,Boom,Corporate
27-January-3303,21:05,Ron Hubbard Dock,Outpost,Fedmich,Industrial,Walmiri Purple Universal Dev,Civil Unrest,Corporate
28-January-3303,13:05,Roberts Port,Coriolis,Fedmich,Industrial,Fedmich Electronics Partners,Boom,Corporate
28-January-3303,17:35,Roberts Port,Coriolis,Fedmich,Industrial,Fedmich Electronics Partners,Retreat,Corporate
29-January-3303,10:04,Roberts Port,Coriolis,Fedmich,Industrial,Fedmich Electronics Partners,Retreat,Corporate
29-January-3303,11:20,Roberts Port,Coriolis,Fedmich,Industrial,Fedmich Electronics Partners,Retreat,Corporate
29-January-3303,12:32,Roberts Port,Coriolis,Fedmich,Industrial,Fedmich Electronics Partners,Retreat,Corporate
30-January-3303,8:37,Roberts Port,Coriolis,Fedmich,Industrial,Fedmich Electronics Partners,Retreat,Corporate
30-January-3303,17:23,Virtanen Hub,Coriolis,Walmiri,Industrial,Walmiri Purple Universal Dev,Boom,Corporate
30-January-3303,17:30,Roberts Port,Coriolis,Fedmich,Industrial,Fedmich Electronics Partners,Retreat,Corporate
30-January-3303,17:52,Roberts Port,Coriolis,Fedmich,Industrial,Fedmich Electronics Partners,Retreat,Corporate
31-January-3303,21:57,Roberts Port,Coriolis,Fedmich,Industrial,Fedmich Electronics Partners,Retreat,Corporate
1-February-3303,22:10,Virtanen Hub,Coriolis,Walmiri,Industrial,Walmiri Purple Universal Dev,Boom,Corporate
1-February-3303,22:44,Virtanen Hub,Coriolis,Walmiri,Industrial,Walmiri Purple Universal Dev,Boom,Corporate
2-February-3303,20:51,Pook City,Coriolis,Cabru,Industrial,Wolf 504 Blue Public Holdings,None,Corporate
5-February-3303,0:39,Vasilyev Vision,Outpost,Cakiniez,Refinery,Cakiniez Incorporated,None,Corporate
6-February-3303,21:20,Roberts Port,Coriolis,Fedmich,Industrial,Fedmich Electronics Partners,Boom,Corporate
6-February-3303,22:21,Ron Hubbard Dock,Outpost,Fedmich,Industrial,Walmiri Purple Universal Dev,Boom,Corporate
8-February-3303,17:13,Roberts Port,Coriolis,Fedmich,Industrial,Fedmich Electronics Partners,Boom,Corporate
8-February-3303,18:43,Chris & Silvia's Paradise Hideout,Orbis,Eurybia,High Tech,Eurybia Blue Mafia,None,Anarchy
8-February-3303,19:10,Lloyd Port,Coriolis,Beta Caeli,Industrial,Monarchy of Zemlyaqa,Boom,Feudal
8-February-3303,19:18,Chris & Silvia's Paradise Hideout,Orbis,Eurybia,High Tech,Eurybia Blue Mafia,None,Anarchy
8-February-3303,19:41,Komarov Point,Not set,Scylla,Industrial,Progressive Party of Scylla,War,Democracy
