"Date","Time","Credits","Crime Comitted","Faction Bounty","Victim"
27-January-3303,19:00,400,assault,Jet Bridge Inc,Alstromer
27-January-3303,19:00,6000,murder,Jet Bridge Inc,Alstromer
27-January-3303,19:01,400,assault,Jet Bridge Inc,Frank Black
27-January-3303,19:01,6000,murder,Jet Bridge Inc,Frank Black
27-January-3303,19:01,400,assault,Jet Bridge Inc,Strolva
27-January-3303,19:01,6000,murder,Jet Bridge Inc,Strolva
27-January-3303,20:59,200,assault,Fedmich Electronics Partners,$ShipName_Police_Alliance
29-January-3303,9:55,200,assault,Fedmich Electronics Partners,Captain Redbat
30-January-3303,8:29,200,assault,Fedmich Electronics Partners,$ShipName_Police_Alliance
30-January-3303,17:10,200,assault,Fedmich Electronics Partners,Hans Hansen
31-January-3303,21:49,200,assault,Fedmich Electronics Partners,Kay Döbbel
31-January-3303,21:49,5000,murder,Fedmich Electronics Partners,Kay Döbbel
6-February-3303,22:09,200,assault,Fedmich Electronics Partners,Delirium
